unique_key,lang,link,question_number,flores_passage,question,mc_answer1,mc_answer2,mc_answer3,mc_answer4,correct_answer_num,dialect,ds
https://en.wikibooks.org/wiki/Wikijunior:Biology/Origin_of_Life_2,spa_Latn,https://en.wikibooks.org/wiki/Wikijunior:Biology/Origin_of_Life,2,"Cuando un grupo reducido de seres vivos (una población pequeña) se aparta de la principal de la que provienen (por ejemplo, si se desplazan a una cadena montañosa o a un río, o si se trasladan a una isla nueva de modo que no pueden retroceder con facilidad) se encontrarán, con frecuencia, en un ambiente diferente al que solían estar acostumbrados. El nuevo entorno cuenta con distintos recursos y competidores y, por lo tanto, una nueva población necesitará características o adaptaciones diferentes de las que tenía antes para ser un competidor fuerte. No se han producido cambios en la población original, que aún precisan de las mismas adaptaciones que en el pasado. Al pasar el tiempo, a medida que la incipiente población se va adaptando al nuevo entorno, comienza a asemejarse cada vez menos a la otra población. Finalmente, tras miles o, incluso, millones de años, las dos poblaciones lucirán tan distintas que no será posible catalogarlas como de la misma especie. Este proceso recibe el nombre de especiación, que simplemente significa el desarrollo de especies nuevas, y es una consecuencia ineludible y parte fundamental de la evolución.",¿Cuál de las siguientes afirmaciones no describe con precisión el proceso de especiación? ,Ocurre cuando una nueva población no se puede adaptar,Es un aspecto crucial del proceso de evolución,Se refiere al desarrollo de nuevas especies,Es inevitable que ocurra,1,spa_Latn,2023-06-01
https://en.wikibooks.org/wiki/Wikijunior:Biology/Systems/Circulatory_System_2,spa_Latn,https://en.wikibooks.org/wiki/Wikijunior:Biology/Systems/Circulatory_System,2,"El corazón, que bombea la sangre, es el órgano más importante del sistema circulatorio. La sangre fluye desde el corazón a través de unas vías llamadas arterias y regresa a éste por otras denominadas venas. Los conductos más pequeños de todos reciben el nombre de capilares.",¿Cuáles son los conductos más pequeños del sistema circulatorio?,Capilares,Arterias,Venas,Órganos,1,spa_Latn,2023-06-01
https://en.wikibooks.org/wiki/Wikijunior:Europe/Luxembourg_2,spa_Latn,https://en.wikibooks.org/wiki/Wikijunior:Europe/Luxembourg,2,"Si bien Luxemburgo tiene una historia extensa, su independencia no ocurrió sino hasta el año 1839. En el pasado, las partes actuales de Bélgica pertenecían a Luxemburgo, pero, tras la Revolución belga de la década de 1830, se volvieron belgas. Luxemburgo siempre ha intentado mantenerse como un estado neutral; no obstante, Alemania lo invadió en ambas guerras mundiales. Luxemburgo pasó a ser, en 1957, miembro fundador de lo que hoy llamamos Unión Europea.",¿Cuál de los siguientes aspectos afectó la neutralidad de Luxemburgo?,Invasión alemana,Unirse a la Unión Europea,Revolución belga,Convertirse en un país independiente,1,spa_Latn,2023-06-01
https://en.wikibooks.org/wiki/Wikijunior:Europe/Turkey_1,spa_Latn,https://en.wikibooks.org/wiki/Wikijunior:Europe/Turkey,1,"La Turquía europea (Tracia Oriental o Rumelia, en la península de los Balcanes) comprende el 3 % del país. El territorio de Turquía tiene más de 1600 kilómetros de largo (1000 mi), 800 km de ancho (500 mi) y tiene una forma más o menos rectangular. La superficie de Turquía, incluidos los lagos, abarca 783.562 kilómetros cuadrados, de los cuales 755.688 se encuentran en el suroeste de Asia y 23.764 en Europa. La superficie de Turquía la ubica en el puesto 37 de los países más grandes del globo, con un tamaño similar al de Francia metropolitana y el Reino Unido juntos. Tres de los lados de Turquía están rodados por mares: el oeste, por el Mar Egeo; el norte, por el Mar Negro y el sur, por el Mediterráneo.",¿Cuántos kilómetros cuadrados de la superficie total de Turquía hay en Europa?,9174,755 688,1600,23 764,4,spa_Latn,2023-06-01
https://en.wikibooks.org/wiki/Wikijunior:Europe/Vatican_City_1,spa_Latn,https://en.wikibooks.org/wiki/Wikijunior:Europe/Vatican_City,1,"Con aproximadamente 800 habitantes, la Ciudad del Vaticano es el país independiente más pequeño del mundo y el de menor población. El italiano se usa en Ciudad del Vaticano, tanto para redactar su normativa como para emitir sus comunicados oficiales. La lengua que hablan a diario la mayoría de quienes trabajan dentro del estado es también el italiano y el uso del latín queda generalmente reservado para las ceremonias religiosas. La totalidad de los ciudadanos que viven en Ciudad del Vaticano adscriben a la religión católica romana.",¿Para qué se utiliza el latín en la Ciudad del Vaticano?,Ceremonias religiosas,Comunicación diaria,Normativa,Comunicados oficiales,1,spa_Latn,2023-06-01
https://en.wikibooks.org/wiki/Wikijunior:How_Things_Work/Computer_1,spa_Latn,https://en.wikibooks.org/wiki/Wikijunior:How_Things_Work/Computer,1,"En la actualidad, las personas usan las computadoras para manipular imágenes y videos. Es posible diseñar animaciones sofisticadas por ordenador, algo que es cada vez más habitual ver tanto en la televisión como en el cine. Con frecuencia, la grabación de música se hace con computadoras sofisticadas a fin de procesar y mezclar sonidos.","De acuerdo con el texto, ¿cuál de los siguientes se beneficia de mezclar sonidos en computadoras sofisticadas?",Música,Animaciones,Imágenes,Diseño,1,spa_Latn,2023-06-01
https://en.wikibooks.org/wiki/Wikijunior:How_Things_Work/Flush_Toilet_2,spa_Latn,https://en.wikibooks.org/wiki/Wikijunior:How_Things_Work/Flush_Toilet,2,"Las ciudades de Harappa y Mohenjo-daro tenían inodoros con descarga en casi todas las casas, los que se conectaban con un sistema de desagüe sofisticado. En algunos hogares de las ciudades minoanas de Creta y Santorini, Grecia, se hallaron vestigios de sistemas de alcantarillas. También contaban con sanitarios en el antiguo Egipto, Persia y China. En la civilización romana, los baños públicos tenían retretes y algunos eran compartidos por hombres y mujeres.",¿En cuál de los siguientes lugares se encontraron sistemas de alcantarillas avanzados?,Harappa,Santorini,Egipto ,China,1,spa_Latn,2023-06-01
https://en.wikibooks.org/wiki/Wikijunior:How_Things_Work/Laser_1,spa_Latn,https://en.wikibooks.org/wiki/Wikijunior:How_Things_Work/Laser,1,"Para recuperar el nivel de energía previo, deben deshacerse de la adicional que recibieron de la luz. Se hace al emitir una pequeña partícula de luz llamada «fotón». Los expertos denominan a este proceso «emisión estimulada de radiación», ya que la luz brillante estimula a los átomos, lo que genera la emisión de un fotón de luz, que es un tipo de radiación. En la imagen que sigue se ilustran átomos que emiten fotones. Claro está, estos son, en verdad, de un tamaño mucho menor que los de la imagen. ¡El tamaño de los fotones es incluso menor que el de la materia que compone los átomos!","De acuerdo con el texto, ¿cuál es el proceso que permite que los átomos eliminen el exceso de energía de la luz?",Radiación ,Emisión estimulada de protones,Fotón,Emisión estimulada de radiación,4,spa_Latn,2023-06-01
https://en.wikibooks.org/wiki/Wikijunior:Languages/Estonian_2,spa_Latn,https://en.wikibooks.org/wiki/Wikijunior:Languages/Estonian,2,"La cultura alemana ejercía una marcada influencia en el norte de Estonia hacia el siglo XV. Algunos monjes de Alemania querían acercar a la gente nativa a Dios, motivo por el cual inventaron el idioma literal estonio. Su base fue el alfabeto alemán y se incorporó un carácter: «Õ/ õ». Con el transcurso del tiempo, muchas palabras tomadas del alemán se fusionaron. Esto marcó el inicio de la iluminación.",¿Qué influyó en idioma estonio?,El carácter Õ/õ,El alfabeto alemán,Monjes de Alemania,Dios,2,spa_Latn,2023-06-01
https://en.wikibooks.org/wiki/Wikijunior:Solar_System/Moon_1,spa_Latn,https://en.wikibooks.org/wiki/Wikijunior:Solar_System/Moon,1,"La superficie de la luna se compone de rocas y polvo y su capa exterior se denomina corteza. La corteza tiene un espesor de unos 70 km en el lado cercano y de 100 km en el lejano. Es más delgada bajo los mares lunares y más gruesa bajo las tierras altas. Es posible que haya más mares en el lado cercano debido a que su corteza es más delgada, lo que facilitó a la lava ascender a la superficie.","De acuerdo con el texto, ¿cuál de las siguientes afirmaciones describe con precisión la capa exterior de la luna?",El lado cercano tiene una corteza más gruesa,La corteza es más delgada bajo las tierras altas,Es posible que haya menos mares en el lado lejano,Es posible que haya menos mares bajo las tierras altas,3,spa_Latn,2023-06-01
https://en.wikibooks.org/wiki/Wikijunior:South_America/The_Amazon_2,spa_Latn,https://en.wikibooks.org/wiki/Wikijunior:South_America/The_Amazon,2,"El río Amazonas es el más caudaloso y el segundo más extenso del planeta. Contiene 8 veces más agua que el río que le sigue en tamaño. Además, el Amazonas es el río más ancho del planeta, en algunos puntos con una amplitud de hasta seis millas. Del total del agua proveniente de los ríos del mundo que desemboca en los océanos, el 20 por ciento deriva del Amazonas. El gran Río Amazonas tiene una extensión de 6387 km (3980 millas) y recibe agua de miles de ríos de menor tamaño.",¿Qué distinción no se atribuye al río Amazonas?,Es el segundo río más caudaloso,Es el río más extenso,Es el río más caudaloso,Es el río más ancho,3,spa_Latn,2023-06-01
https://en.wikibooks.org/wiki/Wikijunior:World_Heritage_Sites/Serengeti_1,spa_Latn,https://en.wikibooks.org/wiki/Wikijunior:World_Heritage_Sites/Serengeti,1,"Todos los años, cerca de octubre, aproximadamente 1,5 millones de herbívoros emigran hacia las tierras llanas del sur, atravesando el río Mara, desde las colinas del norte, en busca de las lluvias. Y después, regresan al norte por el oeste, nuevamente atravesando el río Mara, una vez concluidas las lluvias, cerca de abril. En la región de Serengeti se encuentra el Parque Nacional del Serengeti, la Zona de Conservación de Ngorongoro y la Reserva de Caza Maswa, todas ellas en Tanzania. En Kenia se localiza la Reserva Nacional Massai Mara.","De acuerdo con el texto, ¿desde dónde emigran los herbívoros en busca de las lluvias?",Las tierras llanas del oeste,Las colinas del norte,Las tierras llanas del sur,Las colinas del oeste,2,spa_Latn,2023-06-01
https://en.wikinews.org/wiki/24_people_rescued_from_roller_coaster_at_California%27s_Great_America_theme_park_1,spa_Latn,https://en.wikinews.org/wiki/24_people_rescued_from_roller_coaster_at_California%27s_Great_America_theme_park,1,"Los pasajeros pudieron beber agua mientras esperaban a una temperatura de 90 °F. Scott Kouns, capitán del cuartel de bomberos, comentó: «Era un día de calor en Santa Clara, con temperaturas de 90 grados. Sea cual sea el tiempo que podría pasarse atrapado en una montaña rusa, resultaría incómodo, como mínimo, y llevó al menos una hora lograr descender a la primera persona del juego».","Según el texto, ¿cuál de las siguientes afirmaciones no es cierta?",Hubo un incendio en Santa Clara,Quedaron personas atrapadas en una montaña rusa,Se les dio agua a los pasajeros,Llevó al menos 60 minutos lograr descender a la primera persona del juego,1,spa_Latn,2023-06-01
https://en.wikinews.org/wiki/Anonymous_people_reveal_animal_cruelty_at_Australian_Inghams_poultry_producer_factory_using_CCTV_footage_1,spa_Latn,https://en.wikinews.org/wiki/Anonymous_people_reveal_animal_cruelty_at_Australian_Inghams_poultry_producer_factory_using_CCTV_footage,1,"El movimiento Liberación Animal y la Real Sociedad para la Prevención de la Crueldad contra los Animales (RSPCA) nuevamente reclaman la instalación obligatoria de cámaras de videovigilancia en todos los mataderos de Australia. David, O'Shannessy, jefe de inspección de la RSPCA Nueva Gales del Sur, afirmó a ABC que en Australia debería ser algo normal someter a vigilancia e inspecciones a los mataderos. «Al instalar un circuito cerrado de televisión, de seguro se estará enviando un mensaje contundente a aquellos que trabajan con animales de que su bienestar es de prioridad capital».","De acuerdo con un jefe de inspección de la RSPCA, ¿cuál de las siguientes inspecciones debería ser estándar?",Cámaras de videovigilancia,Toda persona que trabaje con animales,Instalaciones de vigilancia,Mataderos,4,spa_Latn,2023-06-01
https://en.wikinews.org/wiki/Anonymous_people_reveal_animal_cruelty_at_Australian_Inghams_poultry_producer_factory_using_CCTV_footage_2,spa_Latn,https://en.wikinews.org/wiki/Anonymous_people_reveal_animal_cruelty_at_Australian_Inghams_poultry_producer_factory_using_CCTV_footage,2,"El movimiento Liberación Animal y la Real Sociedad para la Prevención de la Crueldad contra los Animales (RSPCA) nuevamente reclaman la instalación obligatoria de cámaras de videovigilancia en todos los mataderos de Australia. David, O'Shannessy, jefe de inspección de la RSPCA Nueva Gales del Sur, afirmó a ABC que en Australia debería ser algo normal someter a vigilancia e inspecciones a los mataderos. «Al instalar un circuito cerrado de televisión, de seguro se estará enviando un mensaje contundente a aquellos que trabajan con animales de que su bienestar es de prioridad capital».","De acuerdo con el texto, ¿qué podría ayudar a consolidar la importancia del bienestar animal para los trabajadores de los mataderos australianos?",La instalación de cámaras de videovigilancia ,Reuniones obligatorias con la RSPCA,Inspecciones regulares de los mataderos,Supervisión de ABC,1,spa_Latn,2023-06-01
https://en.wikinews.org/wiki/Anti-ACTA_activists_protest_across_Europe_1,spa_Latn,https://en.wikinews.org/wiki/Anti-ACTA_activists_protest_across_Europe,1,"Quienes organizaron la manifestación afirmaron que cerca de 100 000 personas participaron en ciudades de Alemania como Berlín, Colonia, Hamburgo y Hannover. La fuerza policial calculó 6500 manifestantes en Berlín. Las manifestaciones tuvieron lujar, además, en París; Sofía, Bulgaria; Vilnius, Lituania; Valetta, Malta; Tallin, Estonia y Edimburgo y Glasgow, Escocia. En Londres, cerca de 200 personas se manifestaron afuera de las oficinas de algunos de los propietarios de derechos de autor más importantes. El mes pasado, se llevaron a cabo importantes manifestaciones en Polonia cuando el país firmó el ACTA, lo que causó que el gobierno polaco decidiera no ratificar el acuerdo, por el momento. Tanto Letonia como Eslovaquia han demorado el procedimiento de unión al ACTA.","En respuesta a las protestas, ¿qué país no siguió adelante con su acuerdo ACTA firmado?",Alemania,Polonia,Escocia,Lituania,2,spa_Latn,2023-06-01
https://en.wikinews.org/wiki/Austria_leads_medal_count_after_second_day_of_2013_IPC_Alpine_World_Championships_1,spa_Latn,https://en.wikinews.org/wiki/Austria_leads_medal_count_after_second_day_of_2013_IPC_Alpine_World_Championships,1,"Con solo dieciocho medallas disponibles por día, son varios los países que no han logrado llegar al podio de las medallas. Están incluidos los Países Bajos, con Anna Jochemsen, quien ayer obtuvo la novena plaza en la categoría femenina en el Super-G, y Finlandia, con Katjia Saarinen en el décimo lugar en el mismo evento. Mitchell Gourley, de Australia, obtuvo el undécimo puesto en la categoría masculina de pie del slalom súper gigante. El competidor checo, Oldrich Jelinek, terminó decimosexto en el grupo masculino de sentados. Arly Velásquez, de México, obtuvo la posición número quince en el Super-G masculino sentado. Adam Hall, de Nueva Zelanda, finalizó en el puesto nueve en la categoría Super-G masculina. El esquiador del grupo masculino con discapacidad visual, Maciej Krezel, y su guía, Anna Ogarzynska, de Polonia, terminaron en el decimotercer lugar en el Super-G. Jong Seork Park de Corea del Sur obtuvo el vigésimo cuarto puesto en el grupo masculino sentados.",¿Qué esquiador compitió con la ayuda de un guía?,Anna Jochemsen,Jong Seork Park,Maciej Krezel,Anna Ogarzynska,3,spa_Latn,2023-06-01
https://en.wikinews.org/wiki/Building_collapses_in_Mecca_at_eve_of_Hajj_pillgrimage_2,spa_Latn,https://en.wikinews.org/wiki/Building_collapses_in_Mecca_at_eve_of_Hajj_pillgrimage,2,"Un albergue colapsó hoy en La Meca, tierra sagrada del islam, cerca de las 10:00 a. m., hora local. El albergue hospedaba a varios devotos que habían llegado a la ciudad sagrada las vísperas de la peregrinación del Hajj. El albergue eestaba ocupado en su mayor parte por huéspedes provenientes de los Emiratos Árabes Unidos. La cantidad de decesos asciende a, al menos, 15 personas, cifra que se estima irá en aumento.","De acuerdo con el texto, ¿cuál de las siguientes afirmaciones es cierta?",No hubo víctimas mortales,Todos los huéspedes eran de los Emiratos Árabes Unidos,Los huéspedes estaban allí para las vísperas de la peregrinación del Hajj,La mayoría de los huéspedes eran habitantes de La Meca,3,spa_Latn,2023-06-01
https://en.wikinews.org/wiki/California_bans_sale_of_violent_video_games_to_minors_1,spa_Latn,https://en.wikinews.org/wiki/California_bans_sale_of_violent_video_games_to_minors,1,"Una propuesta de ley fue dictada por el gobernador de California, Arnold Schwarzenegger, que no permite vender o rentar videojuegos violentos a menores de edad. El proyecto de ley dispone que los videojuegos violentos que se vendan en el estado de California deben etiquetarse con una calcomanía con la leyenda «18» y penaliza su venta a menores de edad con una multa de $1000 por incumplimiento.",¿Qué no forma parte del proyecto de ley firmado por el gobernador Arnold Schwarzenegger?,La prohibición de vender o rentar videojuegos violentos a menores de edad en California,Multas monetarias a los infractores,La prohibición de vender o rentar videojuegos violentos a menores de edad fuera de California,Un requisito de calcomanía en los juegos violentos,3,spa_Latn,2023-06-01
https://en.wikinews.org/wiki/Car_women%27s_rugby_7%27s_tournament_2,spa_Latn,https://en.wikinews.org/wiki/Car_women%27s_rugby_7%27s_tournament,2,"El inicio de los juegos fue a las 10:00 a. m., acompañados de un buen clima, y, excepto por una leve lluvia a media mañana que pronto se disipó, fue una jornada ideal para el rugby 7. Sudáfrica, mejor cabeza de serie del torneo, comenzó bien al obtener un holgado triunfo por 26-0 contra Zambia, quien se encuentra en quinto lugar. Aunque se mostraron apagadas contra sus hermanas sureñas, Sudáfrica mejoró a medida que avanzó el torneo. Su defensa disciplinada, sus habilidades de manejo del balón y el excelente trabajo en equipo los llevaron a destacarse y quedó claro que este era el equipo a derrotar.","De acuerdo con el texto, ¿cuándo empezó a mejorar el juego de Sudáfrica?",Aproximadamente a las 10:00 a. m.,Después de reforzar la defensa,Después de perder contra Zambia,A medida que avanzaba el torneo,4,spa_Latn,2023-06-01
https://en.wikinews.org/wiki/China%27s_economy_surpasses_Japan%27s_in_second_quarter_2,spa_Latn,https://en.wikinews.org/wiki/China%27s_economy_surpasses_Japan%27s_in_second_quarter,2,"En las últimas tres décadas, China ha desarrollado una economía de mercado, aun cuando, oficialmente, continúa teniendo un régimen comunista. Bajo el mando de Deng Xiaoping se introdujeron las primeras reformas económicas. A partir de allí, el volumen económico de China ha crecido 90 veces más. La exportación de automóviles de China superó, por primera vez, a la de Alemania y sobrepasó a EE. UU. como el mercado más importante de esta industria. En veinte años, el PIB de China podría ser más alto que el de los Estados Unidos.","De acuerdo con el texto, ¿cuándo podría superar el PIB de China al de Estados Unidos?",Tras más reformas económicas,Dentro de dos décadas,Cuando el país esté bajo un nuevo mando,Dentro de tres décadas,2,spa_Latn,2023-06-01
https://en.wikinews.org/wiki/Controversial_Berlin_opera_features_interactive_drug_usage_1,spa_Latn,https://en.wikinews.org/wiki/Controversial_Berlin_opera_features_interactive_drug_usage,1,"La historia que narra la ópera francesa presentada por Camille Saint-Saens es la de un artista «cuya vida está prescrita por el amor, por las drogas y por Japón». Como consecuencia, los artistas fuman cigarros de cannabis en el escenario y el espectáculo incentiva al público a hacer lo propio.",¿Qué incentivan a hacer los artistas al público durante la ópera de Camille Saint-Saens?,Participar en el uso de cannabis,Viajar a Japón,Unirse a ellos en el escenario,Permiten que sus vidas sean dictadas por lo que aman,1,spa_Latn,2023-06-01
https://en.wikinews.org/wiki/DeLay_declares_%27victory%27_in_war_on_U.S._budget_fat_2,spa_Latn,https://en.wikinews.org/wiki/DeLay_declares_%27victory%27_in_war_on_U.S._budget_fat,2,"La cuestión que dio origen al debate fue la controversia en torno al presupuesto destinado al socorro y reconstrucción posteriores al huracán Katrina, medida que algunos conservadores fiscales etiquetaron en torno de broma como el «Acuerdo de Nueva Orleans de Bush». Las críticas de los liberales en relación a los trabajos de restauración tienen su foco en el hecho de que se han adjudicado contratos de reconstrucción a personas que, al parecer, son funcionarios de Washington.",¿Quién critica los contratos de reconstrucción de los trabajos de socorro del huracán Katrina?,Conservadores fiscales ,Liberales,Bush,Funcionarios de Washington,2,spa_Latn,2023-06-01
https://en.wikinews.org/wiki/Effect_of_sanctions_%27like_war%27_says_Iran%27s_Ahmadinejad_1,spa_Latn,https://en.wikinews.org/wiki/Effect_of_sanctions_%27like_war%27_says_Iran%27s_Ahmadinejad,1,"Las declaraciones, en directo por televisión, constituyeron el primer reconocimiento por parte de figuras iraníes de alto rango de que las sanciones están afectándolos de algún modo. Incluyen limitaciones financieras y una prohibición de la Unión Europea para exportar petróleo crudo, industria que representa para la economía iraní el 80 % de su ingreso de divisas. En su último informe mensual, la OPEP señaló que las exportaciones de crudo habían descendido al nivel más bajo de las últimas dos décadas, a 2,8 millones de barriles diarios. La autoridad suprema de liderazgo del estado, el ayatolá Ali Jamenei, calificó a la dependencia del petróleo como «una trampa» que precede a la revolución islámica de Irán en 1979 y de la que deberían liberarse.","Según Ayatollah Ali Khamenei, ¿de qué debe liberarse Irán?",Limitaciones financieras,Revolución islámica,Ingreso de divisas,Dependencia del petróleo,4,spa_Latn,2023-06-01
https://en.wikinews.org/wiki/FAA:_Metroplex_NextGen_project_in_place_in_north_Texas_2,spa_Latn,https://en.wikinews.org/wiki/FAA:_Metroplex_NextGen_project_in_place_in_north_Texas,2,"NextGen es un sistema que, según afirma la Administración Federal de Aviación, reduciría las distancias de las rutas aéreas, lo cual ahorraría millones de galones de combustible por año, así como las emisiones de carbono. Emplea tecnología satelital, en contraste con la vieja tecnología de radar terrestre, con el fin de posibilitar que los controladores de tráfico aéreos detecten aeronaves con mayor precisión y proporcionen datos más exactos a los pilotos.",¿Cómo beneficia NextGen directamente a los controladores de tráfico aéreo?,Rutas aéreas más cortas,Localización más precisa de las aeronaves,Reducción en las emisiones de carbono ,Menos combustible,2,spa_Latn,2023-06-01
https://en.wikinews.org/wiki/Fossilized_remains_of_small_dinosaur_rediscovered_in_Canada_1,spa_Latn,https://en.wikinews.org/wiki/Fossilized_remains_of_small_dinosaur_rediscovered_in_Canada,1,"Prima del Velocirráptor, la Hesperonychus elizabethae pertenece a la familia Dromaeosauridae. Se creía que esta ave rapaz, plumífera y de sangre caliente se desplazaba erguida sobre un par de patas con garras, al igual que el Velociráptor. Su segunda garra era más grande y de allí surgió el nombre Hesperonychus, cuyo significado es «garra occidental».","De acuerdo con el texto, ¿qué característica diferencia al Hesperonychus del Velocirráptor?",Tiene dos patas,Tiene una segunda garra más grande,Tiene un cuerpo totalmente emplumado,Tiene sangre caliente,2,spa_Latn,2023-06-01
https://en.wikinews.org/wiki/French_campaigning_film_director_Ren%C3%A9_Vautier_dies_2,spa_Latn,https://en.wikinews.org/wiki/French_campaigning_film_director_Ren%C3%A9_Vautier_dies,2,"Los logros de Vautier, sin contar su papel de director, incluyen una huelga de hambre en 1973 para luchar contra lo que él entendía como censura política. La ley francesa fue modificada. Se inició como activista a la edad de 15 años, al integrarse a la Resistencia francesa durante la Segunda Guerra Mundial. Escribió un libro autobiográfico en 1998. En la década de 1960, volvió a Argelia, que logró su independencia recientemente, para dar clases de dirección cinematográfica.",¿En qué década Argelia obtuvo la independencia?,1940,1950,1960,1970,3,spa_Latn,2023-06-01
https://en.wikinews.org/wiki/Funeral_of_Pope_John_Paul_II_takes_place_2,spa_Latn,https://en.wikinews.org/wiki/Funeral_of_Pope_John_Paul_II_takes_place,2,"Más de cuatro millones de individuos se concentraron en Roma para presenciar el funeral. Fue tanta la cantidad de gente que se concentró, que no todos pudieron acceder al funeral en la Plaza de San Pedro. Se instalaron de grandes pantallas de televisión en diferentes puntos de Roma, para que todos pudieran ver la ceremonia. En muchas otras ciudades italianas, así como en todo el mundo, en particular en Polonia, se llevaron a cabo montajes parecidos que vieron muchísimas personas.",¿Dónde se realizó la ceremonia del funeral?,En diferentes ubicaciones en todo Roma,En Polonia,En la plaza de San Pedro,"Primero en Roma, luego en otra ciudad italiana",3,spa_Latn,2023-06-01
https://en.wikinews.org/wiki/Hurricane_Fred_churns_the_Atlantic_1,spa_Latn,https://en.wikinews.org/wiki/Hurricane_Fred_churns_the_Atlantic,1,"Según los meteorólogos, hay altas probabilidades de que la tormenta, que se localiza a unas 645 mi (1040 km) al oeste del archipiélago de Cabo Verde, se disperse antes de representar una amenaza para cualquier zona terrestre. En la actualidad, los vientos de Fred alcanzan las 105 millas por hora (165 km/h) y se desplaza en dirección al noroeste. Fred es el ciclón tropical más agresivo que se ha registrado hasta el sur y el este del Atlántico desde la llegada de las imágenes satelitales y solo el tercer gran huracán detectado al este del meridiano 35° O.","Antes de Fred, ¿cuántas tormentas grandes se habían registrado al este de 35° oeste?",Ninguna,Tres,Dos,Una,3,spa_Latn,2023-06-01
https://en.wikinews.org/wiki/India%27s_flag_lands_on_Moon_2,spa_Latn,https://en.wikinews.org/wiki/India%27s_flag_lands_on_Moon,2,"El orbitador lunar sin tripulación, Chandrayaan-1, expulsó su Sonda de Impacto Lunar (MIP), que se precipitó en la superficie de la Luna a 1,5 kilómetros por segundo (3000 millas por hora) y aterrizó estrellándose con éxito cerca del polo sur del satélite natural. Además de tres equipos científicos de gran importancia, la sonda lunar también fue protagonizada por la bandera nacional india, visible en todos los lados.",¿Cuál de las siguientes afirmaciones describe con precisión la sonda lunar?,Aterrizó cerca del polo norte del satélite natural,Su aterrizaje estrellándose fue un éxito,Fue expulsado desde un orbitador tripulado,Llevaba dos instrumentos cruciales,2,spa_Latn,2023-06-01
https://en.wikinews.org/wiki/Jenson_Button_wins_2006_Hungarian_Grand_Prix_1,spa_Latn,https://en.wikinews.org/wiki/Jenson_Button_wins_2006_Hungarian_Grand_Prix,1,"Giancarlo Fisichella no logró mantener el control del vehículo y abandonó la carrera poco después de inciarse. Fernando Alonso, su compañero de equipo, tuvo la delantera durante la mayor parte de la carrera, pero debió ponerle fin justo después de su parada técnica, de seguro debido a que su rueda derecha estaba seriamente doblada. Michael Schumacher abandonó la carrera no mucho después de Alonso, a causa de una avería en la suspensión, producto de las numerosas batallas durante la carrera.",¿Cuándo abandonó la carrera Alonso?,Después de que Schumacher dañara su rueda delantera,Fisichella no logró mantener el control de su vehículo,Después de que Schumacher abandonara su propia carrera,Antes de ponerse a la delantera,2,spa_Latn,2023-06-01
https://en.wikinews.org/wiki/Jenson_Button_wins_2006_Hungarian_Grand_Prix_2,spa_Latn,https://en.wikinews.org/wiki/Jenson_Button_wins_2006_Hungarian_Grand_Prix,2,"Giancarlo Fisichella no logró mantener el control del vehículo y abandonó la carrera poco después de inciarse. Fernando Alonso, su compañero de equipo, tuvo la delantera durante la mayor parte de la carrera, pero debió ponerle fin justo después de su parada técnica, de seguro debido a que su rueda derecha estaba seriamente doblada. Michael Schumacher abandonó la carrera no mucho después de Alonso, a causa de una avería en la suspensión, producto de las numerosas batallas durante la carrera.",¿Qué hizo que Schumacher abandone la carrera antes de tiempo?,No logró mantener el control de su vehículo,Un choque con Alonso,Daño en la rueda causado por Fisichella,Avería en la suspensión del vehículo,4,spa_Latn,2023-06-01
https://en.wikinews.org/wiki/Judge_orders_Baltimore_City_prison_to_produce_plan_for_improvement_1,spa_Latn,https://en.wikinews.org/wiki/Judge_orders_Baltimore_City_prison_to_produce_plan_for_improvement,1,"En los últimos tres meses, se liberaron más de 80 detenidos de la Reserva Central sin una acusación formal. En abril de este año, el juez Glynn firmó una orden de protección contra la prisión para obligarla efectivizar la liberación de quienes fueran detenidos por más de 24 horas desde su ingreso sin que un comisionado de la corte los oyera en una audiencia. El comisionado fija el monto de la fianza, si se la aprueba, y formaliza los cargos presentados por el oficial que procedió a su detención. Los mismos se ingresan, a continuación, en el sistema informático del estado, a través del cual se hace el seguimiento del caso. En la audiencia también se fija la fecha en la que el sospechoso podrá ejercer su derecho de solicitar un juicio rápido.","De acuerdo con el texto, ¿a quién corresponde fijar la fianza de los detenidos?",El oficial que procedió a la detención,Judge Glynn,La Reserva Central,El comisionado de la corte,4,spa_Latn,2023-06-01
https://en.wikinews.org/wiki/Khyber_Pakhtunkhwa_Provincial_Assembly_votes_to_merge_with_Pakistani_Federally_Administered_Tribal_Areas_1,spa_Latn,https://en.wikinews.org/wiki/Khyber_Pakhtunkhwa_Provincial_Assembly_votes_to_merge_with_Pakistani_Federally_Administered_Tribal_Areas,1,"Desde la independencia pakistaní del control británico en 1947, su presidente ha nombrado «agentes políticos» para gobernar las áreas tribales bajo administración federal, que ejercen un control autónomo casi total sobre estas zonas. Estos funcionarios tienen el deber de proveer servicios gubernamentales y judiciales a tenor de lo dispuesto por el artículo 247 de la Constitución paquistaní.",¿Quién se encarga de los servicios judiciales de las áreas tribales bajo administración federal?,El gobierno paquistaní,Los agentes políticos,El presidente de Pakistán,El gobierno británico,2,spa_Latn,2023-06-01
